0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Class
97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,0
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,0
97,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,0
97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,116,117,97,108,108,121,32,32,32,32,32,32,32,32,0
97,99,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,32,0
97,99,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,117,97,108,108,121,32,32,32,32,32,32,32,32,0
97,99,116,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,32,0
97,99,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,97,108,108,121,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,108,108,121,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,32,0
97,99,116,117,97,108,108,108,108,108,108,108,108,108,108,108,108,108,121,32,32,32,32,32,32,32,32,32,32,32,0
